Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1466192345418895366,Ilaria__98 💞,2021-12-01 23:47:50+00:00,0,È SOLO PER LE PERSONE A CUI PIACCIONO LORO... NO INSULTI...se vi piacciono  LDA e  Elena di  Amici21 seguite questa page non ve ne pentirete 🤭❤️ ,#LDA#Elena#Amici21,3,0.0688,Elena
1466174963426209796,GiuGiu🌹,2021-12-01 22:38:46+00:00,0,"Forse sbaglierò io, ma a me sembrano tantissimo Rosa e Deddy😂🤦‍♀️ amici21  lda  lucadalessio  elenamanuele  amici20  deddy  dennisrizzi  rosadigrazia  amici17  virginiatomarchio  christianlopresti ",#amici21#lda#lucadalessio#elenamanuele#amici20#deddy#dennisrizzi#rosadigrazia#amici17#virginiatomarchio#christianlopresti,4,0.4404,
1466173472133033985,GiuGiu🌹,2021-12-01 22:32:50+00:00,0,"Belli sono loro, ma questa immagine parla da se 💓 amici21  albe  serenacarella  albertolamalfa ",#amici21#albe#serenacarella#albertolamalfa,5,0.875,
1466171151416283146,mattiaechristianmyloves,2021-12-01 22:23:37+00:00,3,Io che supplico tutti i santi e le divinità di leggere dalle anticipazioni di domani che Mattia sia in studio e che abbia ripreso la maglia! Vi scongiuro 🥺   Mattia  Amici21 ,#Mattia#Amici21,3,0.0,Mattia
1466161616286883842,lucr_00,2021-12-01 21:45:43+00:00,1,"Teneteli per voi i vostri stupidi e infondati pensieri su un presunto antagonismo tra loro due, smettetela di metterla l'una contro l'altra e lasciatele vivere serenamente questa bellissima amicizia che realmente hanno. ❤  amici21  Serena  Carola ",#amici21#Serena#Carola,5,0.6369,Serena;Carola
1466161557314981890,𝓔𝓵𝓮𝓸𝓷𝓸𝓻𝓪 • •,2021-12-01 21:45:29+00:00,0,Totalmente bimba di  Alex  Amici21 ,#Alex#Amici21,3,0.0,
1466156314283941891,lolla☁️,2021-12-01 21:24:39+00:00,0,e dopo luigino abbiamo anche alexino  Amici21  carola,#Amici21#carola,3,0.0,Luigi
1466151707273048074,saretta/alex'smalinconiastanaccount🦋🤍,2021-12-01 21:06:21+00:00,2,"🔴ANDATE TUTTI, TUTTI, TUTTIIII🔴 importante!!!  amici21  amicispoiler  alex",#amici21#amicispoiler#alex,3,0.0,
1466147296983359496,90% ego ma ho anche dei difetti,2021-12-01 20:48:49+00:00,0,E comunque io sono ancora ferma alla cover di  LDA di pastello bianco 🥺💔  Amici21 ,#LDA#Amici21,4,0.2732,
1466144065339150341,Alexsupporter,2021-12-01 20:35:59+00:00,1,Alex buona fortuna per la sfida di domani (anche se sei talmente bravo che per me sulla coppa già ci doveva essere inciso il tuo nome)Spacca tutto bello❤  amici21  alexwyse  alex ,#amici21#alexwyse#alex,5,0.6369,Alex
1466139757029822473,Francesca🧸💖,2021-12-01 20:18:52+00:00,1," questo disegno l’ho fatto io, con tutto il mio cuore💖💖🫂  Amici21  Carola  caroligi  piadiners  happybdaycarola  carolaeluigi  luigiecarola  ",#Amici21#Carola#caroligi#piadiners#happybdaycarola#carolaeluigi#luigiecarola,5,0.8225,
1466139531762192385,𝙘𝙖𝙧𝙤🐞 ↠ 𝙥𝙞𝙖𝙙𝙞𝙣𝙚 𝙘𝙡𝙖𝙣𝙙𝙚𝙨𝙩𝙞𝙣e,2021-12-01 20:17:58+00:00,26,in questo giorno speciale noi piadiners bruciate abbiamo deciso di fare questa piccola sorpresa alla nostra metà…speriamo di vederti sempre più alto man mano che la tua anima pura si alleggerirà…ti amiamo da morire -piadiners bruciate🤍🌮   amici21  carola  caroligi ,#amici21#carola#caroligi,3,0.0,Carola
1466139525495898116,Francesca🧸💖,2021-12-01 20:17:57+00:00,1,Tutto questo è per te Carola💖ti amiamo🫂Ancora buon compleanno🎂 Amici21  carolaeluigi  Carola  caroligi  happybdaycarola  Luigi  piadiners  luigiecarola  ,#Amici21#carolaeluigi#Carola#caroligi#happybdaycarola#Luigi#piadiners#luigiecarola,4,0.296,Carola;Luigi
1466137516587761672,Amici😛🕺💜,2021-12-01 20:09:58+00:00,3,"ecco a voi Chri in super hd, perché non ne abbiamo mai abbastanza🤩La linguetta non manca mai ahah 😛 christian  Amici21 ",#christian#Amici21,5,0.5994,Christian
1466136469400137741,Tony Viola,2021-12-01 20:05:48+00:00,3,Quando  saprà fare perfettamente 3 giri di fila a sinistra allora sarà proprio così! 😂😂Sappiamo che puoi farcela 🤞🏻💜 AMICI21  Amici21  Mattia ,#AMICI21#Amici21#Mattia,5,0.7574,Mattia
1466131751500189701,Claudia,2021-12-01 19:47:03+00:00,0,Io commossa per i discorsi di  Aisha e  nicol Amici21,#Aisha#nicol#Amici21,3,0.0,
1466131650459353096,Claudia,2021-12-01 19:46:39+00:00,0, Alex e  Sissi passione danza  Amici21 ,#Alex#Sissi#Amici21,3,0.0,Sissi
1466131374088376321,Amici😛🕺💜,2021-12-01 19:45:33+00:00,7," Amici21  mattia  christianè il mio primo video quindi scusate se non è un granché. Spero vi piaccia, buona serata così ✨❤️ ",#Amici21#mattia#christianè,4,0.3182,
1466120564813221897,kla+z -8🕷||✪⊗,2021-12-01 19:02:36+00:00,0,"arte,maestria,capolavoro,bellezza,sacrificio,professionalità,talento...carola puddu buon compleanno dea,ti auguro di superare tutte le tue insicurezze &lt;3  carola  Amici21  happybdaycarola ",#carola#Amici21#happybdaycarola,3,0.0,
1466115000691527683,Hope,2021-12-01 18:40:29+00:00,0,Ragaaa ma Alex non segue Carola su Insta o mi sbaglio hahahC'è qualquadra che non cosa Amici21 Alex Carolingi AMICI21,#Amici21#Alex#Carolingi#AMICI21,3,0.0,Alex;Carola
1466107901509091328,Wendy💫💜🤍 || 🦁🦁,2021-12-01 18:12:17+00:00,3,"È il degno figlio di Raimondo, sempre storto era destino😂  AMICI21  Mattia ",#AMICI21#Mattia,4,0.4404,
1466106263268433922,Effe,2021-12-01 18:05:46+00:00,0,Allora domenica si avvicina e non posso vedere un’altra puntata di  AMICI21 senza  Mattia. Quindi non scherziamo!,#AMICI21#Mattia.,3,0.0,
1466105232933412864,lucrezya,2021-12-01 18:01:41+00:00,0,il mio spotify sa…  AMICI21  luigi ,#AMICI21#luigi,3,0.0,
1466104960374956034,Alexsupporter,2021-12-01 18:00:36+00:00,0,Io però adoro questo duo amici21  alexwyse  alex ,#amici21#alexwyse#alex,3,0.0,Alex
1466101064852254727,Sabri,2021-12-01 17:45:07+00:00,3,"Andate ad ascoltare Sogni al Cielo, può arrivare al disco d'oro daiii💪❤️⭐️⭐️⭐️  Amici21  Alex  alexwyse ",#Amici21#Alex#alexwyse,3,0.0,
1466098964869128194,Elena,2021-12-01 17:36:46+00:00,3,"Perchè a me di non piangere anche l'acqua del battesimo oggi, non interessa... Amici21  Guido  Simone ",#Amici21#Guido#Simone,3,0.0,Guido
1466098155041271820,@turbomαrti👻,2021-12-01 17:33:33+00:00,0,quento ci scommettete che domani esce il daytime su elena “elena incontra rudy”? QUANTO CI SCOMMETTETE??  Amici21  Elena ,#Amici21#Elena,3,0.0,Elena
1466097181308469264,@turbomαrti👻,2021-12-01 17:29:41+00:00,0,"alex ha salvato il daytime di oggi, anche se solo per un minuto  Alex  Amici21  ",#Alex#Amici21,4,0.34,Alex
1466097154116796418,martina,2021-12-01 17:29:34+00:00,0,IMPAZZISCO 😝😝😝La manager fiera di zio Gigi mentiroso  luigistrangis  luigi  caroligi  amici2021  AMICI21  ,#luigistrangis#luigi#caroligi#amici2021#AMICI21,3,0.0,Luigi
1466095414730493971,Hande Rossi 8M🦁/ malinconia Alex🎶,2021-12-01 17:22:40+00:00,0,"Daje tutta con questo disco d'oro per ""sogni al cielo"", stringiamo i denti e sbrighiamoci che la meta non è lontana.P.s ovviamente acquistate e stremmare anche ""tra silenzi"" che è un'opera d'arte 💫🎶 Amici21  Alex ",#Amici21#Alex,2,-0.2263,Alex
1466093053911969798,| ☽ amici stan account,2021-12-01 17:13:17+00:00,2,alex che fa le pirouette con carola.la mia vita è completa  Amici21  carola  alex ,#Amici21#carola#alex,2,-0.296,Alex
1466091042227343363,Erika Di Biasi,2021-12-01 17:05:17+00:00,5,Zia Carola che dà lezioni di ballo sia a Luigi che ad Alex mi conferma che il golden trio di questa edizione siano loro✈️😂😂Me li sono scelta bene i protetti❤️  Alex  caroligi  Amici21 ,#Alex#caroligi#Amici21,4,0.25,Carola;Luigi;Alex
1466084796715700227,Francesca🧸💖,2021-12-01 16:40:28+00:00,2,un esemplare di Luigi che controlla la sua Lady🙈💖  Amici21  Carola  carolaeluigi  caroligi  Luigi  luigiecarola  piadiners ,#Amici21#Carola#carolaeluigi#caroligi#Luigi#luigiecarola#piadiners,5,0.7506,Luigi
1466083640799113230,gio||santo e polli stan account,2021-12-01 16:35:53+00:00,0,"sto scrivendo una storia su wattpad sul pollo biondo fuori da amici se vi va di leggerla non sono bravissima i know💞 mattiazenzola  mattia  amici21  fanfiction  wattpad""un amore tra i banchi di scuola||mattia zenzola "" su  Wattpad   ","#mattiazenzola#mattia#amici21#fanfiction#wattpad""un#Wattpad",5,0.6486,Mattia
1466079850901422082,higher ground,2021-12-01 16:20:49+00:00,0,"Comunque se io fossi  chiamerei la De Filippi e le direi ""guarda grazie ma anche meno, state caricando così tanto che mi mettete in imbarazzo. Non potere far vincere Luca senza farlo vedere tutti i giorni, sette ore a settimana?"".   AMICI21  LDA",#AMICI21#LDA,3,0.0,
1466077860301623297,higher ground,2021-12-01 16:12:54+00:00,2,"Cominciano a piacermi quei lunghissimi spazi dedicati a  LDA + ex ragazza perché finalmente so quando alzarmi a sparecchiare, leggere messaggi, pisciare e se li allungate un altro po' anche cacare. Grazie   amici2021  AMICI21  Amicispoiler",#LDA#amici2021#AMICI21#Amicispoiler,3,0.0,
1466077611923226625,⎊ EleⒶnor Winchester ⍟,2021-12-01 16:11:55+00:00,0,Quando il daytime diventa interessante. Amici21  Alex ,#Amici21#Alex,3,0.0,Alex
1466075830950449152,MissClois86,2021-12-01 16:04:51+00:00,0,Quando.                            Ma poiInizia a.                              ArrivaM3rd4.                              LUI... AMICI21  Amici21  alexwyse  alex ,#AMICI21#Amici21#alexwyse#alex,3,0.0,
1466075045982347274,Cinzia Bonomo,2021-12-01 16:01:43+00:00,1,Passo a due: Carola e MattiaCarola e UmbertoCarola e DarioCarola e Serena Carola e Alex Amici21  carola  caroligi,#Amici21#carola#caroligi,3,0.0,Carola;Mattia;Dario;Serena;Alex
1466074475087249418,aaaaaaaaaa,2021-12-01 15:59:27+00:00,2,LO VUOI CAPIRE O NO CHE SEI LA MIA VITA  Amici21  Alex ,#Amici21#Alex,1,-0.7065,
1466074231465291781,MissClois86,2021-12-01 15:58:29+00:00,0,Alex che si allena per la lezione  Keep Dreaming con Marlú  Amici21  alexwyse  alex ,#Amici21#alexwyse#alex,3,0.0,Alex;Rea
1466072701446107142,Sabri,2021-12-01 15:52:24+00:00,0,Se volete ho creato un gruppo per sclerare insieme su  Amici21  Alex  Luigi  Carola  Mattia  Christian  Rea  Nicol  Guido  Virginia  Serena  Dario,#Amici21#Alex#Luigi#Carola#Mattia#Christian#Rea#Nicol#Guido#Virginia#Serena#Dario,3,0.0,Christian
1466072279297798145,Benedetta 🙆🏻‍♀️,2021-12-01 15:50:44+00:00,2,Il daytime più triste della storia senza Mattia e Christian 💔  Amici21  Mattia  Christian ,#Amici21#Mattia#Christian,4,0.2732,Mattia;Christian
1466070899233374218,mattiaechristianmyloves,2021-12-01 15:45:15+00:00,7,Io dopo aver visto il daytime senza aver visto i polli neanche col binocolo 😭  Mattia  christianstefanelli  Amici21 ,#Mattia#christianstefanelli#Amici21,2,-0.4767,Mattia
1466070739686236164,chia,2021-12-01 15:44:37+00:00,0,"cantante, nel tempo libero appassionato di pirouette Alex  alexwyse  amici2021  AMICI21  Amicispoiler   ",#Alex#alexwyse#amici2021#AMICI21#Amicispoiler,3,0.0,Alex
1466070586262704139,simo loves zayn,2021-12-01 15:44:00+00:00,0,day time salavate solo da alex  AMICI21  ZENZONELLI  Alex,#AMICI21#ZENZONELLI#Alex,3,0.0,Alex
1466069720529084421,la pentola a pressione🕺,2021-12-01 15:40:34+00:00,0,alex e carola insegnate pure a me a fare quei giri  Alex  Carola  AMICI21,#Alex#Carola#AMICI21,3,0.0,Alex
1466068688180809728,🩰🎀💌💓🌷👻🫀👩🏻‍❤️‍💋‍👨🏼🦩♍️,2021-12-01 15:36:28+00:00,1,alex ti insegno tutte le piroette che vuoi   Amici21  alex,#Amici21#alex,3,0.0,Alex
1466068679184072712,Lea Green,2021-12-01 15:36:26+00:00,21,Oggi Crik e Crok manco con la lente d'ingrandimento li vediamo 😭 Amici21  Christian  Mattia ,#Amici21#Christian#Mattia,2,-0.4767,Christian;Mattia
1466068538335145999,aka_myhalf//Mi manchi💘,2021-12-01 15:35:52+00:00,0,Buon compleanno cuoricino mio❤️🔥Qui per te!❣️  Amici21  carola ,#Amici21#carola,5,0.6696,
1466068350342156296,giulia ⧽,2021-12-01 15:35:07+00:00,0,"fateci vedere più momenti così di alex, grazie❤️ alex  amici21",#alex#amici21,3,0.0,Alex
1466068174269566980,"MORIS, costumista stylist",2021-12-01 15:34:25+00:00,0, AMICI21  amici2021   aisha si vede che ha un rapporto complicato con la sua immagine... Grosse felpe e impacciata... Deve liberarsi.. Fregarsene dei kg in più e sorridere ,#AMICI21#amici2021#aisha,4,0.34,
1466066917584773129,Tony Viola,2021-12-01 15:29:26+00:00,1,"Visto che giovedì si registrerà la nuova puntata, riusciremo a vedere  l'eventuale conferma della maglia a Mattia prima delle anticipazioni?Noi aspettiamo solo questo 🙏🏼  Amici21  Mattia ",#Amici21#Mattia,3,0.0,Mattia
1466065848066527233,@julietta,2021-12-01 15:25:11+00:00,0,Mannaccia lda  Amici21,#lda#Amici21,3,0.0,
1466065453646852104,martina,2021-12-01 15:23:36+00:00,0,"Mi sono rotta di vedere lda ed Elena , VOGLIAMO I METIROSI LO VOLETE CAPIRE  Elena  caroligi  mentiroso  lda  AMICI21",#Elena#caroligi#mentiroso#lda#AMICI21,3,0.0,Elena
1466065433858134016,Susanna,2021-12-01 15:23:32+00:00,0, Amici21 Che coppia noiosa  LDA ed  Elena ..anche basta!,#Amici21#LDA#Elena,3,0.0,LDA;Elena
1466064802275422213,Lucia De Giulio,2021-12-01 15:21:01+00:00,0,Io che aspetto i daytime solo per vedere LDA E ELENA!!😍♥️  elena  LDA  Amici21,#elena#LDA#Amici21,5,0.8309,LDA
1466063122083495941,Diregiovani.it,2021-12-01 15:14:21+00:00,0,Le immagini del daytime parlano chiaro ❤ amici21  LDA ,#amici21#LDA,5,0.6369,
1466046755229872133,Hande Rossi 8M🦁/ malinconia Alex🎶,2021-12-01 14:09:18+00:00,1,"🚨 IMPORTANTE 🚨Forza ragazzi tutti insieme ce la possiamo fare, confido in noi ☺️""Sogni al cielo"" è un capolavoro, facciamolo diventare disco d'oro 📀 Amici21  Alex ",#Amici21#Alex,4,0.4588,Alex
1466043317850984452,Wendy💫💜🤍 || 🦁🦁,2021-12-01 13:55:39+00:00,1,"Io a Chri però invidio una cosa: la pazienza, ne ha tantissima perché non deve essere facile trovarsi in mezzo a quei due fuochi di Pollo e Gallo😂❤️Siamo tuttx con te Christian😂 Amici21  Christian ",#Amici21#Christian,5,0.802,Christian
1466042483696144390,Amici21,2021-12-01 13:52:20+00:00,2,Quant'è miniiii  Amici21  Mattia ,#Amici21#Mattia,3,0.0,Mattia
1466037879164047369,Amici😛🕺💜,2021-12-01 13:34:02+00:00,8,Ma solo io in queste foto vedo lo stesso tipo di sguardo? 😩👀 mattia  christian  Amici21 ,#mattia#christian#Amici21,2,-0.2732,
1466036592741699585,Wendy💫💜🤍 || 🦁🦁,2021-12-01 13:28:56+00:00,7,"Nonna questa nelle serie di  è qualcosa di troppo bello, minuscolo proprio 💜🤍  Amici21  Mattia ",#Amici21#Mattia,3,0.0,Mattia
1466035370005614598,Wendy💫💜🤍 || 🦁🦁,2021-12-01 13:24:04+00:00,5,"Questa foto che sicuramente terremo tutti nel nostro archivio, vi ringrazio ancora tantissimo è un bellissimo regalo che ci avete fatto 🤧❤️ Amici21  Mattia  Christian ",#Amici21#Mattia#Christian,3,0.0,Mattia;Christian
1466024275631030276,Gaia D.,2021-12-01 12:39:59+00:00,0,Come si fa a non amarla?  caroligi  Amici21  carola ,#caroligi#Amici21#carola,3,0.0,
1466018768346390529,Amici😛🕺💜,2021-12-01 12:18:06+00:00,5,Non trovate bellissimo questo mare? 🤠 mattia  AMICI21 ,#mattia#AMICI21,3,0.0,
1466017362319220742,Amici😛🕺💜,2021-12-01 12:12:31+00:00,3,"Ah quindi oltre ad essere ballerino, filosofo su Twitter, è pure un pittore 👨‍🎨 bellissimo comunque 🥺❤️ Amici21  mattia ",#Amici21#mattia,3,0.0,
1466016375479144449,Mattia Zenzola Official Fanclub,2021-12-01 12:08:35+00:00,10,il nostro pittore 👨🏻‍🎨💜🤍  mattia  Amici21 ,#mattia#Amici21,3,0.0,
1466015426698166279,Francesca🧸💖,2021-12-01 12:04:49+00:00,1,"Buon compleanno a te che sei qualcosa di straordinario,hai un dono immenso.La tua danza è sublime.Sei un angelo in punta di piedi.Tu che sei bellissima, in tutto.Buon compleanno piccola anima💖🎂  happybdaycarola  Amici21  Carola  caroligi  carolaeluigi ",#happybdaycarola#Amici21#Carola#caroligi#carolaeluigi,5,0.7506,
1466004199758520331,Benedetta 🙆🏻‍♀️,2021-12-01 11:20:12+00:00,2,"🤞🏼oggi nel dt si vedrà bubi2 che si riprende la maglia🤞🏼Matti andiamo, se mi ci impegno in una settimana li imparo anche io a farli sti cacchio di giri 😅 Amici21  Mattia ",#Amici21#Mattia,4,0.3612,Mattia
1465995408862326786,Twitto quello che mi va 🎄✨💃🌺🌻💎✨🍀💙🤍,2021-12-01 10:45:17+00:00,1,Buon compleanno principessa ✨💃🌺🌸🌼🩰🤍🤍  amici21  carola  ,#amici21#carola,4,0.3182,Carola
1465994888202305545,Unnomenonancorainuso,2021-12-01 10:43:12+00:00,0,"Ridi , ridi sempre 🤍  happybdaycarola  caroligi  carobday  amici21  carola ",#happybdaycarola#caroligi#carobday#amici21#carola,3,0.0,
1465988027671535617,2A news,2021-12-01 10:15:57+00:00,0,"Amici 21, anticipazioni. Dopo l’ultima puntata c’è stato un confronto tra Mattia e il professore Raimondo Todaro sulla sua maglia sospesa.  amici21  anticipazioni  raimondotodaro  mattia  via  News",#amici21#anticipazioni#raimondotodaro#mattia,3,0.0,Mattia
1465987675463184389,anna💛si sente viva e parte da 0 sbattendo al muro,2021-12-01 10:14:33+00:00,3,La potenza di sta ragazza  happybdaycarola  carola  Amici21  caroligi ,#happybdaycarola#carola#Amici21#caroligi,3,0.0,
1465986693446742019,Unnomenonancorainuso,2021-12-01 10:10:39+00:00,3,"Vogliamo fare un regalo a zia  carola? Bene, ascoltiamo  muro  happybdaycarola  carobday  caroligi  luigi  muro  vivo  amici21 ",#carola?#muro#happybdaycarola#carobday#caroligi#luigi#muro#vivo#amici21,3,0.0,Carola
1465984122971729921,Benedetta 🙆🏻‍♀️,2021-12-01 10:00:26+00:00,0,"- Però anche se è solo un ragazzo di 17 anni, non ha esperienza e non sa ancora magari come va il mondo, è comunque giusto che abbia le sue idee e le porti avanti, sempre con rispetto ed educazione. E per questo non deve essere visto come arrogante, presuntuoso.  Amici21  Mattia",#Amici21#Mattia,4,0.34,
1465984120413110274,Benedetta 🙆🏻‍♀️,2021-12-01 10:00:25+00:00,0,"Secondo me Matti non ha sbagliato ieri a rispondere a Todaro e far valere il suo pensiero. È stato educato e tranquillo.Forse di fronte a queste cose stare zitti e annuire ha i suoi vantaggi, i prof hanno sempre il coltello dalla parte del manico, lo sappiamo. -  Amici21 Mattia",#Amici21#Mattia,5,0.5859,
1465978253689208834,crok💜,2021-12-01 09:37:06+00:00,0,ieri ho fatto il tampone e sono risultata positiva all'amore per Christian💕💖💞💖💕💝💞💝💞    amici21  christian,#amici21#christian,5,0.9926,Christian
1465961198579556358,Alexsupporter,2021-12-01 08:29:20+00:00,2,Io quando guardo Alex alex  amici21 ,#alex#amici21,3,0.0,Alex
1465958313170984963,Alexsupporter,2021-12-01 08:17:52+00:00,0,Io che non aspetto altro che vedere alex a natale travestito da babbo natale (come hanno fatto i ragazzi l'anno scorso) alex amici21,#alex#amici21,3,0.0,Alex
1465950197217996800,Benedetta 🙆🏻‍♀️,2021-12-01 07:45:37+00:00,1,Mi state dicendo che devo aspettare un altro giorno per sapere se i miei bubi stanno bene e bubi2 ha riavuto quella cavolo di maglia?! 😫🤦🏻‍♀️  Amici21  Mattia  Christian ,#Amici21#Mattia#Christian,2,-0.2003,Mattia;Christian
1465944233299300356,LaMichi,2021-12-01 07:21:55+00:00,7,buongiorno con il mio ballerino preferito 💘  Amici21  albe ,#Amici21#albe,5,0.6369,
1465940779759714309,sottona per giugiulola💜,2021-12-01 07:08:12+00:00,2,"Sappi  Mattia credo e crederò sempre in te. Hai del talento da vendere, e non parliamo di che latinista sei, perché una cazzo di bomba, lo hai nel sangue.leggere quelle cose ha fatto male,ma noi siamo sempre qui a supportarti.💛   Amici21  amici21 ",#Mattia#Amici21#amici21,5,0.765,Mattia
1465930903469838339,noe🙆🏻‍♀️,2021-12-01 06:28:57+00:00,0,auguri carola&lt;3  carolapuddu  Amici21  Carola  ,#carolapuddu#Amici21#Carola,3,0.0,
1465929526064656386,Benedetta 🙆🏻‍♀️,2021-12-01 06:23:29+00:00,2,In bocca al lupo ai miei protetti del cuore  Christian  Mattia  Alex e  Luigi PS: Ai polli un po' di più visto che ne hanno bisogno 💙💜  Amici21FORZA RAGAZZI 💪🏼💪🏼💪🏼💪🏼 ,#Christian#Mattia#Alex#Luigi#Amici21FORZA,5,0.8555,Alex;Christian;Mattia
1465859696557019138,Lucelettra,2021-12-01 01:46:00+00:00,0," Amici21  carola  happybdaycarola e come dice il testo di qst canzone ""YOU ARE ENOGH"" tu sei molto piu' ke ABBASTANZA.. tu straripi GRAZIA UMILTÀ DOLCEZZA SENSUALITA' BELLEZZA SIMPATIA e TALENTO da tutti i pori!! Sei L'ALLIEVA più ATTRAENTE di quest'edizione!! 👏👏👏😍😍😍💙💚💖 ",#Amici21#carola#happybdaycarola,5,0.9775,
1465854228811898883,Lucelettra,2021-12-01 01:24:17+00:00,0, Amici21  carola  happybdaycarola Un OMAGGIO a CAROLA STUPENDO.. per le immagini.. la musica che aveva scelto anche lei.. e per tutti i complimenti dei professori ricevuti finora!!! Un bellissimo incoraggiamento!!! 👏👏👏👏👏👏😍😍😍😍😍💙💚💖❤💜💛🧡💙💚💖❤💜💛🧡 ,#Amici21#carola#happybdaycarola,5,0.9978,Carola
1465838543083737091,Tw quello che mi piace,2021-12-01 00:21:57+00:00,0, Amici21  carola  caroligi Amore ti auguro tutto il Bene del mondo💘 Auguri.🎉 Sei la mia vita- Continua a Ballare x tutti noi😘💘 ,#Amici21#carola#caroligi,5,0.9136,
1465831210383519745,marimar,2021-11-30 23:52:49+00:00,0,Vorrei sentire una cover di ultimo con Alex 😍 sono sicura che spaccherà ! Due poeti ❤️  Amici21  alex  sabbia  ultimo  BallandoConLeStelle  sognialcielo  trasilenzi ,#Amici21#alex#sabbia#ultimo#BallandoConLeStelle#sognialcielo#trasilenzi,4,0.5093,Alex
1465823340745080837,La_B,2021-11-30 23:21:32+00:00,0,Carola sei divina  happybdaycarola  carola  caroligi  amici21 ,#happybdaycarola#carola#caroligi#amici21,3,0.0,Carola
1465822437640220674,chia~ 💜 ✙ 💫,2021-11-30 23:17:57+00:00,0,Auguri alla principessa.  Mi raccomando brilla sempre 🌟  Amici21  Carola ,#Amici21#Carola,3,0.0,
1465822134027051008,La_B,2021-11-30 23:16:45+00:00,0,Sei fantastica Carola tanti auguri  Carola  happybdaycarola  caroligi  amici21 ,#Carola#happybdaycarola#caroligi#amici21,3,0.0,Carola
1465819706288394243,Gaia D.,2021-11-30 23:07:06+00:00,0,Buon compleanno a questa splendida creatura  happybdaycarola  caroligi  Amici21  carola ,#happybdaycarola#caroligi#Amici21#carola,3,0.0,
1465819498762625025,anna💛si sente viva e parte da 0 sbattendo al muro,2021-11-30 23:06:16+00:00,0,Auguri stellina❣️ti meriti il mondo 🤍 ily    happybdaycarola  carola  amici21 ,#happybdaycarola#carola#amici21,5,0.8625,
1465819303966654469,La_B,2021-11-30 23:05:30+00:00,0,Tanti auguri stellina!  carola  caroligi  amici21 ,#carola#caroligi#amici21,3,0.0,Carola
1465818915028754437,Francesca🧸💖,2021-11-30 23:03:57+00:00,0,Auguri a questa bambina bellissima!💖💖💖💖🎂 Amici21  caroligi  happybdaycarola  Carola ,#Amici21#caroligi#happybdaycarola#Carola,5,0.9774,Carola
1465818132388487171,𝙘𝙖𝙧𝙤🐞 ↠ 𝙥𝙞𝙖𝙙𝙞𝙣𝙚 𝙘𝙡𝙖𝙣𝙙𝙚𝙨𝙩𝙞𝙣e,2021-11-30 23:00:51+00:00,0,AUGURI A MIA FIGLIA E ALLA MIA METÀ  amici21  carola  caroligi,#amici21#carola#caroligi,1,-0.7065,Carola
1465806089358917636,marimar,2021-11-30 22:12:59+00:00,0,"Quando ho visto questa stella in via condotti, ho pensato ad Alex 😍 amici21  AMICI21  alex  sognialcielo  trasilenzi ",#amici21#AMICI21#alex#sognialcielo#trasilenzi,4,0.4588,Alex
1465802821933092870,Amici😛🕺💜,2021-11-30 22:00:00+00:00,5,Pronti per la battutona dell’anno?Stasera Mattia era letteralmente SU DI GIRIDitemi che l’avete capita vi prego 😂 AMICI21  Mattia ,#AMICI21#Mattia,4,0.4404,Mattia
1465798462885277699,chiara🤍,2021-11-30 21:42:41+00:00,1,"ciao, a mezzanotte tutti a twittare con  happybdaycarola per farle gli auguri e sperare che veda i tweet 😢  amici21  carola ",#happybdaycarola#amici21#carola,2,-0.4767,Carola
1466553952598577153,Anna🧜‍♀️,2021-12-02 23:44:44+00:00,0,Gli haters parlano e lei aumenta di followers ogni giorno pur non pubblicando nulla da agosto  caroligi  amici21  carola ,#caroligi#amici21#carola,2,-0.4939,
1466550983870140416,C✨,2021-12-02 23:32:56+00:00,3,"Vi giuro, sono passate ore, e il mio pensiero e ancora fisso su quando ho letto ""Guido e stato eliminato"" (poi hanno specificato che era stato sostituito, quindi ancora peggio) ho un vuoto assurdo dentro di me..💔💔💔😭😭 maestro...  Guido  Amici21  Amicispoiler ",#Guido#Amici21#Amicispoiler,2,-0.2263,Guido
1466540838683648002,Tony Viola,2021-12-02 22:52:37+00:00,0,"Grazie  per aver partecipato con tanta spontaneità allo spazio e per averci raccontato un po’ di voi, della vostra vita e dei tanti sacrifici che Mattia ha fatto sin da piccolino. Dalle sue parole si è capito quanto sia speciale il vostro rapporto🙏🏻❤️ Mattia  Amici21",#Mattia#Amici21,2,-0.296,Mattia
1466538867524354048,Sara Citi,2021-12-02 22:44:47+00:00,10,e con questa meravigliosa foto vi do la buonanotte✨ Amici21  Christian  christianstefanelli ,#Amici21#Christian#christianstefanelli,4,0.3182,Christian
1466535382040915971,LadyOscar,2021-12-02 22:30:56+00:00,0, Che casino!! Sembra il gfvip.Ma  Virginia non era quella che poteva vincere contro tutti? Non l'ho nemmeno vista ballare ed è già fuori??🙈🙈E Alex dov'è? E Nicol? Da prima a ultima? Amici21 ,#Virginia#Amici21,3,0.0,Virginia;Alex
1466534242540605443,LadyOscar,2021-12-02 22:26:24+00:00,1," Vabbè, queste classifiche fatte a cazzo da persone qualunque, mi sanno tanto di voto pilotato.Tanto per riuscire a mandare in sfida  Rea Amici21",#Rea#Amici21,3,0.0,Rea
